Latitude,Longitude,Gate-Name
0,0,
0,0.995,
0,1.99,
0,2.985,
0,3.98,
0,4.975,
0,5.97,
0,6.965,
0,7.96,
0,8.955,
0,9.95,
0,10.945,
0,11.94,
0,12.935,
0,13.93,
0,14.925,
0,15.92,
0,16.915,
0,17.91,
0,18.905,
0,19.9,
0,20.895,
0,21.89,
0,22.885,
0,23.88,
0,24.875,
0,25.87,
0,26.865,
0,27.86,
0,28.855,
0,29.85,
0,30.845,
0,31.84,
0,32.835,
0,33.83,
0,34.825,
0,35.82,
0,36.815,
0,37.81,
0,38.805,
0,39.8,
0,40.795,
0,41.79,
0,42.785,
0,43.78,
0,44.775,
0,45.77,
0,46.765,
0,47.76,
0,48.755,
0,49.75,
0,50.745,
0,51.74,
0,52.735,
0,53.73,
0,54.725,
0,55.72,
0,56.715,
0,57.71,
0,58.705,
0,59.7,
0,60.695,
0,61.69,
0,62.685,
0,63.68,
0,64.675,
0,65.67,
0,66.665,
0,67.66,
0,68.655,
0,69.65,
0,70.645,
0,71.64,
0,72.635,
0,73.63,
0,74.625,
0,75.62,
0,76.615,
0,77.61,
0,78.605,
0,79.6,
0,80.595,
0,81.59,
0,82.585,
0,83.58,
0,84.575,
0,85.57,
0,86.565,
0,87.56,
0,88.555,
0,89.55,
0,90.545,
0,91.54,
0,92.535,
0,93.53,
0,94.525,
0,95.52,
0,96.515,
0,97.51,
0,98.505,
0,99.5,
0,100.495,
0,101.49,
0,102.485,
0,103.48,
0,104.475,
0,105.47,
0,106.465,
0,107.46,
0,108.455,
0,109.45,
0,110.445,
0,111.44,
0,112.435,
0,113.43,
0,114.425,
0,115.42,
0,116.415,
0,117.41,
0,118.405,
0,119.4,
0,120.395,
0,121.39,
0,122.385,
0,123.38,
0,124.375,
0,125.37,
0,126.365,
0,127.36,
0,128.355,
0,129.35,
0,130.345,
0,131.34,
0,132.335,
0,133.33,
0,134.325,
0,135.32,
0,136.315,
0,137.31,
0,138.305,
0,139.3,
0,140.295,
0,141.29,
0,142.285,
0,143.28,
0,144.275,
0,145.27,
0,146.265,
0,147.26,
0,148.255,
0,149.25,
0,150.245,
0,151.24,
0,152.235,
0,153.23,
0,154.225,
0,155.22,
0,156.215,
0,157.21,
0,158.205,
0,159.2,
0,160.195,
0,161.19,
0,162.185,
0,163.18,
0,164.175,
0,165.17,
0,166.165,
0,167.16,
0,168.155,
0,169.15,
0,170.145,
0,171.14,
0,172.135,
0,173.13,
0,174.125,
0,175.12,
0,176.115,
0,177.11,
0,178.105,
0,179.1,
0,180.095,
0,181.09,
0,182.085,
0,183.08,
0,184.075,
0,185.07,
0,186.065,
0,187.06,
0,188.055,
0,189.05,
0,190.045,
0,191.04,
0,192.035,
0,193.03,
0,194.025,
0,195.02,
0,196.015,
0,197.01,
0,198.005,
0.995,0,
0.995,0.995,
0.995,1.99,
0.995,2.985,
0.995,3.98,
0.995,4.975,
0.995,5.97,
0.995,6.965,
0.995,7.96,
0.995,8.955,
0.995,9.95,
0.995,10.945,
0.995,11.94,
0.995,12.935,
0.995,13.93,
0.995,14.925,
0.995,15.92,
0.995,16.915,
0.995,17.91,
0.995,18.905,
0.995,19.9,
0.995,20.895,
0.995,21.89,
0.995,22.885,
0.995,23.88,
0.995,24.875,
0.995,25.87,
0.995,26.865,
0.995,27.86,
0.995,28.855,
0.995,29.85,
0.995,30.845,
0.995,31.84,
0.995,32.835,
0.995,33.83,
0.995,34.825,
0.995,35.82,
0.995,36.815,
0.995,37.81,
0.995,38.805,
0.995,39.8,
0.995,40.795,
0.995,41.79,
0.995,42.785,
0.995,43.78,
0.995,44.775,
0.995,45.77,
0.995,46.765,
0.995,47.76,
0.995,48.755,
0.995,49.75,
0.995,50.745,
0.995,51.74,
0.995,52.735,
0.995,53.73,
0.995,54.725,
0.995,55.72,
0.995,56.715,
0.995,57.71,
0.995,58.705,
0.995,59.7,
0.995,60.695,
0.995,61.69,
0.995,62.685,
0.995,63.68,
0.995,64.675,
0.995,65.67,
0.995,66.665,
0.995,67.66,
